Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
New Zealand,Papua New Guinea,"Jaipur Cricket Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
West Indies,Sri Lanka,"Saurashtra Cricket Association Stadium, India",Sri Lanka,Angelo Mathews,West Indies
United Arab Emirates,South Africa,"Sabina Park, Jamaica, West Indies",South Africa,Faf du Plessis,South Africa
United Arab Emirates,West Indies,"Wanderers Stadium, South Africa",West Indies,Chris Gayle,West Indies
Oman,New Zealand,"Galle International Stadium, Sri Lanka",Oman,Bilal Khan,Oman
Papua New Guinea,Namibia,"Seddon Park, New Zealand",Namibia,Gerhard Erasmus,Namibia
Papua New Guinea,Namibia,"Himachal Pradesh Cricket Association Stadium, India",Namibia,Gerhard Erasmus,Papua New Guinea
India,Australia,"Punjab Cricket Association IS Bindra Stadium, India",India,Rishabh Pant,Australia
Netherlands,England,"Cuttack Cricket Stadium, India",England,Jos Buttler,England
Afghanistan,South Africa,"Perth Stadium, Australia",South Africa,Quinton de Kock,South Africa
Nepal,India,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",India,Rishabh Pant,Nepal
South Africa,United Arab Emirates,"Thiruvananthapuram Cricket Stadium, India",South Africa,Quinton de Kock,United Arab Emirates
South Africa,England,"The Grange Club, Scotland",South Africa,Faf du Plessis,South Africa
Australia,Namibia,"Melbourne Cricket Ground, Australia",Australia,Steve Smith,Australia
Oman,West Indies,"Tribhuvan University International Cricket Ground, Nepal",West Indies,Chris Gayle,West Indies
Bangladesh,Zimbabwe,"Warner Park, St Kitts, West Indies",Zimbabwe,Craig Ervine,Bangladesh
Pakistan,Nepal,"Feroz Shah Kotla Ground, India",Nepal,Dipendra Singh Airee,Nepal
England,Scotland,"Harare Sports Club, Zimbabwe",England,Joe Root,England
United Arab Emirates,Bangladesh,"National Stadium, Karachi, Pakistan",United Arab Emirates,Muhammad Usman,United Arab Emirates
Afghanistan,Bangladesh,"Perth Stadium, Australia",Afghanistan,Mohammad Nabi,Bangladesh
India,Australia,"Barsapara Stadium, India",Australia,David Warner,India
Ireland,Papua New Guinea,"Holkar Stadium, India",Papua New Guinea,Assad Vala,Ireland
India,Oman,"Chinnaswamy Stadium, India",India,Rohit Sharma,Oman
Papua New Guinea,Oman,"Feroz Shah Kotla Ground, India",Papua New Guinea,Charles Amini,Oman
Namibia,Netherlands,"Galle International Stadium, Sri Lanka",Netherlands,Bas de Leede,Namibia
Oman,Afghanistan,"Sydney Cricket Ground, Australia",Afghanistan,Rahmanullah Gurbaz,Oman
United Arab Emirates,West Indies,"Old Trafford, England",United Arab Emirates,Rohan Mustafa,West Indies
England,India,"Warner Park, St Kitts, West Indies",England,Jos Buttler,England
New Zealand,South Africa,"Dharamsala Cricket Stadium, India",South Africa,Faf du Plessis,New Zealand
Ireland,Pakistan,"Melbourne Cricket Ground, Australia",Pakistan,Haris Rauf,Ireland
New Zealand,Ireland,"Barsapara Stadium, India",Ireland,Paul Stirling,New Zealand
New Zealand,England,"Adelaide Oval, Australia",England,Jason Roy,England
Scotland,Nepal,"Al Amerat Cricket Ground, Oman",Scotland,Safyaan Sharif,Nepal
Zimbabwe,Netherlands,"Hyderabad Cricket Stadium, India",Netherlands,Fred Klaassen,Zimbabwe
West Indies,Hong Kong,"VRA Cricket Ground, Netherlands",Hong Kong,Ehsan Khan,West Indies
Hong Kong,Sri Lanka,"Surat Cricket Stadium, India",Hong Kong,Ehsan Khan,Sri Lanka
Bangladesh,New Zealand,"Kanpur Cricket Stadium, India",Bangladesh,Tamim Iqbal,New Zealand
Netherlands,India,"National Stadium, Karachi, Pakistan",India,Virat Kohli,Netherlands
Sri Lanka,United Arab Emirates,"Patna Cricket Stadium, India",United Arab Emirates,Waheed Ahmed,Sri Lanka
Scotland,Bangladesh,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Scotland,George Munsey,Bangladesh
Pakistan,Netherlands,"Old Trafford, England",Pakistan,Shadab Khan,Netherlands
Papua New Guinea,South Africa,"Dubai International Stadium, UAE",Papua New Guinea,Assad Vala,South Africa
Ireland,Australia,"Pune Cricket Stadium, India",Ireland,Andrew Balbirnie,Australia
United Arab Emirates,Bangladesh,"Greenfield International Stadium, India",United Arab Emirates,Rohan Mustafa,Bangladesh
Zimbabwe,Afghanistan,"Jaipur Cricket Stadium, India",Afghanistan,Mujeeb Ur Rahman,Afghanistan
Oman,Papua New Guinea,"Seddon Park, New Zealand",Oman,Bilal Khan,Oman
United Arab Emirates,Afghanistan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",United Arab Emirates,Ahmed Raza,Afghanistan
Namibia,Afghanistan,"Sharjah Cricket Stadium, UAE",Afghanistan,Hazratullah Zazai,Namibia
Zimbabwe,Hong Kong,"Queen's Sports Club, Zimbabwe",Zimbabwe,Brendan Taylor,Hong Kong
India,United Arab Emirates,"Malahide Cricket Club Ground, Ireland",India,Jasprit Bumrah,United Arab Emirates
England,India,"Lord's, England",India,Virat Kohli,England
Oman,Hong Kong,"Warner Park, St Kitts, West Indies",Hong Kong,Nizakat Khan,Oman
South Africa,Namibia,"Newlands, South Africa",South Africa,Quinton de Kock,South Africa
Netherlands,West Indies,"Warner Park, St Kitts, West Indies",Netherlands,Max O'Dowd,West Indies
Namibia,Sri Lanka,"M. A. Chidambaram Stadium, India",Sri Lanka,Wanindu Hasaranga,Sri Lanka
Australia,Netherlands,"Rajiv Gandhi International Cricket Stadium, India",Netherlands,Bas de Leede,Australia
West Indies,India,"Holkar Stadium, India",India,Virat Kohli,West Indies
Zimbabwe,Namibia,"Lucknow Cricket Stadium, India",Namibia,Craig Williams,Zimbabwe
South Africa,Ireland,"Bellerive Oval, Australia",South Africa,Faf du Plessis,Ireland
New Zealand,India,"Holkar Stadium, India",India,Virat Kohli,New Zealand
West Indies,United Arab Emirates,"Wankhede Stadium, India",West Indies,Andre Russell,United Arab Emirates
Afghanistan,Ireland,"Sydney Cricket Ground, Australia",Afghanistan,Hazratullah Zazai,Afghanistan
Netherlands,Scotland,"R. Premadasa Stadium, Sri Lanka",Scotland,George Munsey,Scotland
Bangladesh,Nepal,"Dehradun Cricket Stadium, India",Bangladesh,Shakib Al Hasan,Nepal
United Arab Emirates,Papua New Guinea,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Papua New Guinea,Lega Siaka,United Arab Emirates
United Arab Emirates,Sri Lanka,"Queen's Sports Club, Zimbabwe",Sri Lanka,Lasith Malinga,Sri Lanka
United Arab Emirates,Hong Kong,"Sharjah Cricket Stadium, UAE",United Arab Emirates,Chirag Suri,United Arab Emirates
Bangladesh,Papua New Guinea,"Al Amerat Cricket Ground, Oman",Bangladesh,Mushfiqur Rahim,Bangladesh
Sri Lanka,India,"Zahur Ahmed Chowdhury Stadium, Bangladesh",India,Hardik Pandya,Sri Lanka
Namibia,Ireland,"Browne Park, Montserrat, West Indies",Namibia,Craig Williams,Ireland
Hong Kong,Afghanistan,"Cuttack Cricket Stadium, India",Afghanistan,Rashid Khan,Afghanistan
Pakistan,Zimbabwe,"Harare Sports Club, Zimbabwe",Zimbabwe,Blessing Muzarabani,Pakistan
Sri Lanka,England,"Adelaide Oval, Australia",Sri Lanka,Kusal Perera,Sri Lanka
Ireland,Bangladesh,"Indore Cricket Stadium, India",Ireland,Kevin O'Brien,Bangladesh
Bangladesh,Afghanistan,"Himachal Pradesh Cricket Association Stadium, India",Bangladesh,Tamim Iqbal,Bangladesh
West Indies,Hong Kong,"Indore Cricket Stadium, India",Hong Kong,Nizakat Khan,West Indies
New Zealand,Zimbabwe,"VRA Cricket Ground, Netherlands",New Zealand,Ross Taylor,New Zealand
Oman,Ireland,"Sydney Cricket Ground, Australia",Oman,Bilal Khan,Ireland
Ireland,Australia,"M. A. Chidambaram Stadium, India",Australia,Pat Cummins,Australia
Namibia,Ireland,"Vizag Cricket Stadium, India",Namibia,Gerhard Erasmus,Namibia
Netherlands,Bangladesh,"Sabina Park, Jamaica, West Indies",Netherlands,Ben Cooper,Netherlands
Sri Lanka,Bangladesh,"Eden Gardens, India",Sri Lanka,Kusal Perera,Sri Lanka
Australia,Zimbabwe,"Warner Park, St Kitts, West Indies",Australia,Glenn Maxwell,Zimbabwe
Nepal,India,"Bay Oval, New Zealand",India,Rishabh Pant,Nepal
West Indies,Hong Kong,"Sydney Cricket Ground, Australia",West Indies,Kieron Pollard,Hong Kong
Afghanistan,Bangladesh,"Greenfield International Stadium, India",Afghanistan,Mujeeb Ur Rahman,Afghanistan
Australia,Ireland,"Jharkhand State Cricket Association Stadium, India",Australia,Steve Smith,Australia
Namibia,United Arab Emirates,"Adelaide Oval, Australia",Namibia,Ruben Trumpelmann,United Arab Emirates
Hong Kong,Zimbabwe,"Saurashtra Cricket Association Stadium, India",Hong Kong,Babar Hayat,Zimbabwe
Bangladesh,Hong Kong,"Wanderers Stadium, South Africa",Hong Kong,Babar Hayat,Hong Kong
India,Scotland,"Eden Gardens, India",India,Virat Kohli,Scotland
West Indies,Australia,"Eden Gardens, India",West Indies,Andre Russell,West Indies
Oman,New Zealand,"Maharashtra Cricket Association Stadium, India",New Zealand,Kyle Jamieson,New Zealand
Bangladesh,England,"Arun Jaitley Stadium, India",England,Jason Roy,Bangladesh
Nepal,Ireland,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Ireland,Paul Stirling,Nepal
New Zealand,Nepal,"Maharashtra Cricket Association Stadium, India",New Zealand,Kyle Jamieson,Nepal
Namibia,India,"Rajkot Cricket Stadium, India",India,Hardik Pandya,Namibia
United Arab Emirates,New Zealand,"Barsapara Stadium, India",United Arab Emirates,Chirag Suri,United Arab Emirates
Bangladesh,Sri Lanka,"Sharjah Cricket Stadium, UAE",Sri Lanka,Wanindu Hasaranga,Sri Lanka
India,Ireland,"Himachal Pradesh Cricket Association Stadium, India",India,Rohit Sharma,India
Oman,Australia,"Perth Stadium, Australia",Oman,Bilal Khan,Oman
Pakistan,Papua New Guinea,"Indore Cricket Stadium, India",Papua New Guinea,Lega Siaka,Papua New Guinea
Scotland,Hong Kong,"Alokozay Kabul International Cricket Ground, Afghanistan",Hong Kong,Aizaz Khan,Scotland
Ireland,New Zealand,"Thiruvananthapuram Cricket Stadium, India",Ireland,Andrew Balbirnie,Ireland
Oman,Afghanistan,"Barsapara Stadium, India",Afghanistan,Rahmanullah Gurbaz,Afghanistan
Pakistan,Hong Kong,"Thiruvananthapuram Cricket Stadium, India",Pakistan,Shadab Khan,Hong Kong
New Zealand,Netherlands,"Sabina Park, Jamaica, West Indies",New Zealand,Kyle Jamieson,New Zealand
New Zealand,India,"Bay Oval, New Zealand",New Zealand,Kane Williamson,India
Sri Lanka,New Zealand,"R. Premadasa Stadium, Sri Lanka",New Zealand,Kyle Jamieson,Sri Lanka
Papua New Guinea,India,"Jaipur Cricket Stadium, India",Papua New Guinea,Assad Vala,India
Bangladesh,Netherlands,"Queen's Park Oval, Trinidad, West Indies",Netherlands,Ben Cooper,Netherlands
Netherlands,United Arab Emirates,"Motera Stadium, India",Netherlands,Fred Klaassen,United Arab Emirates
Namibia,Oman,"Sabina Park, Jamaica, West Indies",Oman,Aqib Ilyas,Namibia
Afghanistan,Pakistan,"Himachal Pradesh Cricket Association Stadium, India",Pakistan,Shaheen Afridi,Pakistan
Sri Lanka,United Arab Emirates,"Old Trafford, England",United Arab Emirates,Muhammad Usman,Sri Lanka
Pakistan,Oman,"Sydney Cricket Ground, Australia",Oman,Aqib Ilyas,Oman
West Indies,England,"Chinnaswamy Stadium, India",West Indies,Andre Russell,England
Papua New Guinea,West Indies,"Rajiv Gandhi International Cricket Stadium, India",Papua New Guinea,Nosaina Pokana,Papua New Guinea
Pakistan,United Arab Emirates,"Rajiv Gandhi International Cricket Stadium, India",United Arab Emirates,Waheed Ahmed,United Arab Emirates
Afghanistan,Australia,"Maharashtra Cricket Association Stadium, India",Australia,Mitchell Starc,Afghanistan
West Indies,New Zealand,"Surat Cricket Stadium, India",New Zealand,Kane Williamson,New Zealand
Pakistan,Oman,"Alokozay Kabul International Cricket Ground, Afghanistan",Oman,Bilal Khan,Pakistan
South Africa,England,"Bay Oval, New Zealand",England,Jos Buttler,England
Namibia,Nepal,"Kanpur Cricket Stadium, India",Nepal,Dipendra Singh Airee,Nepal
England,Namibia,"Wankhede Stadium, India",Namibia,Ruben Trumpelmann,Namibia
Pakistan,West Indies,"Seddon Park, New Zealand",West Indies,Jason Holder,Pakistan
Zimbabwe,Pakistan,"National Stadium, Karachi, Pakistan",Zimbabwe,Brendan Taylor,Zimbabwe
Oman,Zimbabwe,"Old Trafford, England",Oman,Khawar Ali,Zimbabwe
Oman,Namibia,"Hagley Oval, New Zealand",Oman,Jatinder Singh,Oman
Papua New Guinea,Ireland,"Wanderers Cricket Ground, Namibia",Papua New Guinea,Lega Siaka,Papua New Guinea
Australia,United Arab Emirates,"Chinnaswamy Stadium, India",Australia,Pat Cummins,United Arab Emirates
Oman,Hong Kong,"Greenfield International Stadium, India",Oman,Zeeshan Maqsood,Hong Kong
Afghanistan,Namibia,"VRA Cricket Ground, Netherlands",Namibia,Craig Williams,Afghanistan
South Africa,United Arab Emirates,"Seddon Park, New Zealand",South Africa,Anrich Nortje,United Arab Emirates
United Arab Emirates,England,"Wanderers Cricket Ground, Namibia",England,Joe Root,United Arab Emirates
West Indies,Hong Kong,"Dubai International Stadium, UAE",West Indies,Kieron Pollard,West Indies
India,Pakistan,"Sydney Cricket Ground, Australia",Pakistan,Babar Azam,Pakistan
South Africa,India,"Maharashtra Cricket Association Stadium, India",South Africa,Anrich Nortje,India
West Indies,Namibia,"Chinnaswamy Stadium, India",West Indies,Kieron Pollard,West Indies
Hong Kong,Oman,"Old Trafford, England",Hong Kong,Babar Hayat,Oman
India,Ireland,"Alokozay Kabul International Cricket Ground, Afghanistan",India,Rohit Sharma,Ireland
Sri Lanka,Namibia,"Greenfield International Stadium, India",Namibia,JJ Smit,Namibia
Zimbabwe,Sri Lanka,"Mission Road Ground, Hong Kong",Zimbabwe,Sean Williams,Zimbabwe
United Arab Emirates,Papua New Guinea,"National Stadium, Karachi, Pakistan",United Arab Emirates,Muhammad Usman,United Arab Emirates
Hong Kong,Australia,"Nagpur Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
South Africa,Netherlands,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Netherlands,Fred Klaassen,Netherlands
Hong Kong,Papua New Guinea,"Harare Sports Club, Zimbabwe",Papua New Guinea,Nosaina Pokana,Hong Kong
Sri Lanka,South Africa,"Kanpur Cricket Stadium, India",South Africa,Quinton de Kock,South Africa
Afghanistan,Bangladesh,"Kabul International Cricket Stadium, Afghanistan",Bangladesh,Tamim Iqbal,Afghanistan
Sri Lanka,Nepal,"Vizag Cricket Stadium, India",Nepal,Paras Khadka,Sri Lanka
Bangladesh,South Africa,"Kanpur Cricket Stadium, India",South Africa,Faf du Plessis,South Africa
Oman,Bangladesh,"Sabina Park, Jamaica, West Indies",Bangladesh,Shakib Al Hasan,Oman
Australia,India,"Motera Stadium, India",India,Hardik Pandya,Australia
Papua New Guinea,Oman,"Malahide Cricket Club Ground, Ireland",Papua New Guinea,Lega Siaka,Papua New Guinea
New Zealand,Papua New Guinea,"Perth Stadium, Australia",Papua New Guinea,Lega Siaka,Papua New Guinea
South Africa,Nepal,"Kabul International Cricket Stadium, Afghanistan",South Africa,David Miller,Nepal
South Africa,Nepal,"Harare Sports Club, Zimbabwe",South Africa,Faf du Plessis,South Africa
Hong Kong,Pakistan,"Pune Cricket Stadium, India",Pakistan,Babar Azam,Hong Kong
Australia,West Indies,"Galle International Stadium, Sri Lanka",West Indies,Kieron Pollard,West Indies
Scotland,West Indies,"Kochi Cricket Stadium, India",Scotland,Kyle Coetzer,West Indies
New Zealand,South Africa,"Adelaide Oval, Australia",South Africa,Anrich Nortje,New Zealand
Netherlands,Namibia,"Queen's Sports Club, Zimbabwe",Netherlands,Ben Cooper,Netherlands
Ireland,Zimbabwe,"Eden Park, New Zealand",Zimbabwe,Sikandar Raza,Zimbabwe
Ireland,New Zealand,"Kabul International Cricket Stadium, Afghanistan",New Zealand,Ross Taylor,Ireland
Zimbabwe,Afghanistan,"Pune Cricket Stadium, India",Afghanistan,Rashid Khan,Afghanistan
Bangladesh,Oman,"Thiruvananthapuram Cricket Stadium, India",Bangladesh,Tamim Iqbal,Oman
Oman,New Zealand,"Queen's Park Oval, Trinidad, West Indies",Oman,Zeeshan Maqsood,Oman
Namibia,Scotland,"Rajiv Gandhi International Cricket Stadium, India",Namibia,David Wiese,Scotland
Sri Lanka,Bangladesh,"Kanpur Cricket Stadium, India",Bangladesh,Mahmudullah,Bangladesh
Pakistan,Zimbabwe,"Bellerive Oval, Australia",Pakistan,Shadab Khan,Pakistan
Namibia,Hong Kong,"Saurashtra Cricket Association Stadium, India",Namibia,Ruben Trumpelmann,Hong Kong
Bangladesh,Hong Kong,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Hong Kong,Kinchit Shah,Bangladesh
Zimbabwe,England,"Tribhuvan University International Cricket Ground, Nepal",England,Ben Stokes,Zimbabwe
Papua New Guinea,Australia,"Holkar Stadium, India",Australia,Pat Cummins,Papua New Guinea
Scotland,Bangladesh,"Dharamsala Cricket Stadium, India",Bangladesh,Shakib Al Hasan,Bangladesh
Afghanistan,Papua New Guinea,"Jaipur Cricket Stadium, India",Afghanistan,Mohammad Nabi,Afghanistan
Oman,Namibia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Oman,Zeeshan Maqsood,Namibia
Scotland,Hong Kong,"Guwahati Cricket Stadium, India",Scotland,Richie Berrington,Hong Kong
Nepal,England,"M. A. Chidambaram Stadium, India",England,Ben Stokes,England
Zimbabwe,Namibia,"Melbourne Cricket Ground, Australia",Namibia,Gerhard Erasmus,Namibia
Ireland,Netherlands,"Newlands, South Africa",Ireland,Paul Stirling,Ireland
England,South Africa,"VRA Cricket Ground, Netherlands",England,Ben Stokes,South Africa
Hong Kong,Scotland,"Seddon Park, New Zealand",Hong Kong,Babar Hayat,Hong Kong
Pakistan,England,"Rajiv Gandhi International Cricket Stadium, India",Pakistan,Shaheen Afridi,Pakistan
Papua New Guinea,New Zealand,"Gaddafi Stadium, Pakistan",New Zealand,Tom Latham,Papua New Guinea
South Africa,West Indies,"Rajkot Cricket Stadium, India",West Indies,Nicholas Pooran,West Indies
Papua New Guinea,United Arab Emirates,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Papua New Guinea,Assad Vala,United Arab Emirates
Netherlands,South Africa,"Indore Cricket Stadium, India",South Africa,Anrich Nortje,South Africa
Hong Kong,Sri Lanka,"Hagley Oval, New Zealand",Sri Lanka,Angelo Mathews,Hong Kong
Namibia,Papua New Guinea,"Lucknow Cricket Stadium, India",Namibia,Craig Williams,Namibia
Ireland,Oman,"Wanderers Cricket Ground, Namibia",Oman,Khawar Ali,Ireland
Oman,Netherlands,"Sabina Park, Jamaica, West Indies",Netherlands,Fred Klaassen,Oman
Afghanistan,Nepal,"Sabina Park, Jamaica, West Indies",Nepal,Gyanendra Malla,Afghanistan
India,Namibia,"Cuttack Cricket Stadium, India",Namibia,Craig Williams,Namibia
Sri Lanka,England,"M. A. Chidambaram Stadium, India",Sri Lanka,Wanindu Hasaranga,England
New Zealand,West Indies,"Galle International Stadium, Sri Lanka",New Zealand,Kyle Jamieson,New Zealand
England,Netherlands,"Eden Park, New Zealand",England,Joe Root,Netherlands
Pakistan,Australia,"Amini Park, Papua New Guinea",Australia,Steve Smith,Australia
Nepal,England,"Lucknow Cricket Stadium, India",Nepal,Dipendra Singh Airee,England
England,India,"Feroz Shah Kotla Ground, India",India,Rohit Sharma,India
South Africa,New Zealand,"Eden Park, New Zealand",New Zealand,Kyle Jamieson,South Africa
Bangladesh,Sri Lanka,"Feroz Shah Kotla Ground, India",Bangladesh,Mushfiqur Rahim,Sri Lanka
Zimbabwe,United Arab Emirates,"Greenfield International Stadium, India",Zimbabwe,Sikandar Raza,United Arab Emirates
Hong Kong,Netherlands,"Indore Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
Bangladesh,Afghanistan,"Sydney Cricket Ground, Australia",Bangladesh,Mushfiqur Rahim,Bangladesh
Zimbabwe,West Indies,"Eden Gardens, India",West Indies,Nicholas Pooran,West Indies
Nepal,United Arab Emirates,"Kensington Oval, Barbados, West Indies",Nepal,Paras Khadka,United Arab Emirates
